,N,xm,nr,ni,p1,p2,p3,taus_out,taua_out
300,8,0.5,1.62,0.029,1.063318570712394,0.0211986061851445,0.0128896034386031,0.012264636389166186,0.01776427585674152
301,9,0.4,1.94,0.029,2.691214196320427,-0.1273831007864999,-0.2887711673571229,0.010760806898188322,0.012305138164887786
302,7,0.4,1.3,0.024,0.87560384017452,0.0015679482499035,-0.0048919796170747,0.0011920153813211622,0.011698899531522202
303,9,0.6,1.68,0.016,3.3390269645289177,-0.0483541590837781,-0.1693530881254708,0.03371463196566,0.013637206817930615
304,10,0.6,2.04,0.033,7.553634901037243,-2.615363130847572,-0.269440040751562,0.074260174009554,0.026355317149834197
305,8,0.5,1.51,0.006,1.0152138910182518,0.0191489289239122,-0.0021744340375909,0.008711106517369763,0.003898715237484618
306,8,0.7,2.02,0.019,11.214958103251677,-0.4018104054221553,-0.1914578155425344,0.11095957276622315,0.016128257076848767
307,7,0.5,1.67,0.029,1.7410941751553777,-0.0077156145404548,0.0087021787239688,0.012238507644795994,0.01512711138788681
308,9,0.6,1.98,0.066,7.634677515530258,-0.2466263806199105,-0.3330159921756919,0.061251854720103284,0.048744140879429285
309,9,0.6,1.71,0.019,9.18803723211139,-0.3863986753373288,-0.2834086160018187,0.03629598493469416,0.01597044268120313
310,9,0.6,1.93,0.095,6.619660222939229,-0.5222244788188806,-0.1994866676895288,0.05659903919821239,0.07154107682928249
311,10,0.6,1.94,0.086,7.193783704951188,-2.355790369623286,-0.493671866417359,0.0636552561664534,0.07144786829161422
312,8,0.6,1.7,0.04,2.254008761748765,0.0103285402279066,-0.0249812591081294,0.03156657271346808,0.030020836817458103
313,9,0.7,1.88,0.045,10.053764128174572,-0.5233515498366451,-0.5909799395224871,0.09763828182289602,0.04460864543159888
314,8,0.7,1.68,0.035,2.4110599388635108,-0.0519030554508563,-0.0294183733991654,0.055917520010014224,0.03311880107030325
315,9,0.5,2.05,0.02,1.6832442246055974,-0.1267572962210365,-0.2304980609512814,0.03173507005599244,0.01078980123873327
316,10,0.4,1.88,0.027,11.601783794143945,-0.1347982719046762,-0.2089937115832355,0.010804486884104144,0.013198711279557136
317,10,0.6,1.3,0.084,3.1220598367790577,-0.0592925146563353,-0.2220408866092885,0.008808511038864333,0.09088932428932277
318,10,0.4,1.49,0.026,3.065886682497532,-0.0918936260246475,-0.1441866256254872,0.004133148307555157,0.016264136400180273
319,9,0.6,1.82,0.028,6.6195585609688585,0.0098432480872721,-0.2871931144832906,0.04615461034029452,0.02235292232870894
