,N,xm,nr,ni,p1,p2,p3
87,7,0.4,1.3,0.024,0.87560384017452,0.0015679482499035557,-0.004891979617074743
88,9,0.6,1.68,0.016,3.3390269645289177,-0.048354159083778166,-0.16935308812547084
89,10,0.6,2.04,0.033,7.553634901037243,-2.6153631308475718,-0.269440040751562
90,8,0.5,1.51,0.006,1.0152138910182518,0.019148928923912206,-0.002174434037590902
91,8,0.7,2.02,0.019,11.214958103251677,-0.4018104054221553,-0.19145781554253444
92,7,0.5,1.67,0.029,1.7410941751553775,-0.007715614540454822,0.008702178723968858
93,9,0.6,1.98,0.066,7.634677515530258,-0.24662638061991057,-0.3330159921756919
94,9,0.6,1.71,0.019,9.18803723211139,-0.38639867533732886,-0.2834086160018187
95,9,0.6,1.93,0.095,6.619660222939229,-0.5222244788188806,-0.19948666768952886
96,10,0.6,1.94,0.086,7.193783704951188,-2.355790369623286,-0.49367186641735905
97,8,0.6,1.7,0.04,2.254008761748765,0.010328540227906649,-0.024981259108129497
98,9,0.7,1.88,0.045,10.053764128174572,-0.5233515498366451,-0.5909799395224871
99,8,0.7,1.68,0.035,2.4110599388635108,-0.051903055450856384,-0.029418373399165493
100,9,0.5,2.05,0.02,1.6832442246055974,-0.12675729622103651,-0.23049806095128142
101,10,0.4,1.88,0.027,11.601783794143945,-0.13479827190467622,-0.20899371158323557
102,10,0.6,1.3,0.084,3.1220598367790577,-0.05929251465633535,-0.2220408866092885
103,10,0.4,1.49,0.026,3.065886682497532,-0.09189362602464754,-0.14418662562548726
104,9,0.6,1.82,0.028,6.6195585609688585,0.009843248087272119,-0.28719311448329066
105,8,0.7,1.7,0.013,5.6686593484047965,-0.004515589791944302,-0.013399913722148372
106,10,0.6,1.98,0.019,2.9302452576824725,-0.10451068741742356,-0.2466844734758156
107,9,0.6,1.65,0.023,10.160301998773402,-0.4987570592811327,-0.5687491883132367
108,10,0.6,1.37,0.085,8.131652585246956,-0.6437306089098352,-0.22800790661598963
109,10,0.6,1.66,0.018,3.4022546815792207,-0.7822799763389271,-0.23389057709465066
110,10,0.4,1.88,0.066,7.5568876495070025,-1.880645958233723,-0.1972769672316195
111,10,0.4,1.96,0.007,2.0466896291577337,-0.06182149336861263,-0.13633114944200753
112,10,0.6,1.43,0.075,5.491281302904058,-0.5423670466450816,-0.622814825023068
