,N,xm,nr,ni,taus_out,taua_out,qs_tm,qs_pm,m0,p1,p2,p3,Rf,xm_m0,N_m0,N_xm
13,1024,0.336,2.0,0.09,0.006421414714617,0.0325386928285917,2.0992599999999997,2.1220458327831233,0.5020204588443438,3.1989364747555786,-0.10296424830724182,-0.11934717634565352,0.3869454715970855,0.16867887417169952,25.703447492830403,344.064
14,1024,0.43,1.3,0.023,0.0022496609565352,0.017222020777004,0.4373612,0.4137544113664223,0.18755224681131422,3.8088051857493017,-0.3593825500711147,-0.20293290214629459,1.3560024070065395,0.08064746612886511,9.602675036739289,440.32
15,1024,0.43,1.3,0.09,0.002432881200259,0.0671674086168441,0.43984520000000005,0.4473232171955504,0.1954102188797921,6.28262412570194,-0.39007500707864684,-0.245822288905992,0.30342494581220536,0.0840263941183106,10.005003206645355,440.32
16,1024,0.43,2.0,0.023,0.0175314038615873,0.0114309356288248,3.94538,3.9176873208372074,0.5001322305708222,4.236493889011678,-0.38365334838333265,-0.22609570001043777,1.0802382028466695,0.21505685914545355,25.6067702052261,440.32
17,1024,0.43,2.0,0.09,0.0176226818109974,0.0445967052243793,3.729068,3.692909269233394,0.5020204588443438,6.430512783854391,-0.4099682540808969,-0.26308581935005576,0.3869454715970855,0.21586879730306782,25.703447492830403,440.32
18,1024,0.53,1.3,0.023,0.0051133066809882,0.0217620128486533,0.718286,0.7162563915230263,0.18755224681131422,5.589116779961808,-1.058658704532019,-0.29494892913179444,1.3560024070065395,0.09940269080999654,9.602675036739289,542.72
19,1024,0.53,1.3,0.09,0.005510398504453,0.0845995484169822,0.7074572222222222,0.7119274958866929,0.1954102188797921,9.192423910743827,-0.5845435382347423,-0.3037518846289856,0.30342494581220536,0.10356741600628981,10.005003206645355,542.72
20,1024,0.53,2.0,0.023,0.041699295327772,0.0154102258334246,6.279196,6.157126399111206,0.5001322305708222,6.527638915692515,-1.1936234591986417,-0.3685597937663428,1.0802382028466695,0.2650700822025358,25.6067702052261,542.72
21,1024,0.53,2.0,0.09,0.041815207860918,0.0599952152205937,5.797003999999999,5.747386753062641,0.5020204588443438,11.094568060397664,-1.3071626235137672,-0.46491411349165285,0.3869454715970855,0.2660708431875022,25.703447492830403,542.72
22,1024,0.64,1.3,0.023,0.0106266357156621,0.0270791309414474,1.1151877272727273,1.1384534688092907,0.18755224681131422,8.060432615164414,-2.748540925787709,-0.23612212911280592,1.3560024070065395,0.1200334379592411,9.602675036739289,655.36
23,1024,0.64,1.3,0.045,0.0107588565036948,0.0527718198543953,1.0820492,1.0871659654837689,0.18912870484013802,11.516157629303013,-2.8688083702153913,-0.3685249241350408,0.9357028894569605,0.12104237109768834,9.683389687815067,655.36
24,1024,0.64,1.3,0.09,0.0113857760326999,0.1047281261892271,1.059509090909091,1.0501717413945841,0.1954102188797921,16.637300040342396,-2.87847177985168,-0.4837455893285507,0.30342494581220536,0.12506254008306694,10.005003206645355,655.36
25,1024,0.64,1.71,0.023,0.0522203307176609,0.0234790203621736,5.403696,5.38543411301715,0.39096277768520404,10.305991948189641,-3.0350895103203825,-0.39594148833486137,1.1673540093030217,0.2502161777185306,20.017294217482448,655.36
26,1024,0.64,1.71,0.045,0.0521905261569706,0.0457838123403745,5.219972,5.185589889677374,0.3915593833365561,13.220329142356949,-3.172662139981416,-0.46827860763752643,0.8203925604562989,0.2505980053353959,20.047840426831673,655.36
27,1024,0.64,1.71,0.09,0.0524596024043261,0.0909424055100486,4.8813375,4.8463004466733555,0.39397345624574553,17.679226485338738,-2.4145187227073097,-0.6068178886044926,0.3356797905161276,0.2521430119972771,20.171440959782174,655.36
28,1024,0.64,2.0,0.023,0.0917315401288852,0.0208449061898523,8.99875,9.149806108170965,0.5001322305708222,8.53741666677493,-2.6763530907454323,-0.47146324650478305,1.0802382028466695,0.32008462756532624,25.6067702052261,655.36
29,1024,0.64,2.0,0.045,0.0915882046329522,0.040668973557798,8.675413333333333,8.867885640810865,0.5005059654711365,12.00782148199439,-2.92786655340132,-0.5528740830422794,0.7789499202551837,0.32032381790152736,25.625905432122188,655.36
30,1024,0.64,2.0,0.09,0.091588492118976,0.0808588933632802,8.154407692307693,8.35573041057387,0.5020204588443438,16.122930312502127,-2.1936998354820085,-0.5378356403153185,0.3869454715970855,0.32129309366038,25.703447492830403,655.36
31,128,0.43,1.3,0.023,0.0015849520862361,0.0121334184515315,0.1601388,0.2197209081920515,0.18755224681131422,0.5251093424161426,-3.558824549804076e-05,-0.0009158261007585133,1.3560024070065395,0.08064746612886511,1.200334379592411,55.04
32,128,0.43,1.45,0.023,0.003339907675819,0.0112654304551588,0.3523868,0.322466561965983,0.26910035208315425,0.5369993772429231,-0.0001111284648697931,-0.0009301816905042088,1.2760359170932933,0.11571315139575633,1.7222422533321873,55.04
33,128,0.43,1.98,0.09,0.0120632585648049,0.0318236819722583,1.45105,1.4172659544490989,0.4953588723958299,0.36838454864228737,0.0014537560317274163,0.003609143739410531,0.38304593270227616,0.21300431513020684,3.1702967833333116,55.04
34,128,0.43,2.0,0.023,0.012351387903298,0.0080534292155918,1.5313480000000002,1.5528251411765792,0.5001322305708222,0.5482294500835047,-0.0001557523141113102,-0.001033358961728133,1.0802382028466695,0.21505685914545355,3.2008462756532623,55.04
35,128,0.44,1.66,0.086,0.0072044847192946,0.0382643442125326,0.7474451999999999,0.7058639263709976,0.3723876490405265,0.86094852151784,-0.00023582502317312862,-0.0018927963365343893,0.36536010617203685,0.16385056557783167,2.3832809538593698,56.32
36,128,0.47,1.6,0.055,0.0079421583440683,0.0275285707250751,0.767075,0.7230667184618327,0.343588363808897,0.347629913255837,0.000937589316127389,0.005435080691992594,0.707280692829738,0.1614865309901816,2.198965528376941,60.16
