,N,xm,nr,ni,p1,p2,p3
141,9,0.832,1.68,0.023,13.51845871213759,-2.441210075352596,-0.7288087018288696
142,9,0.43,1.45,0.023,3.0918739192314675,-0.0617301422995399,-0.1108638716878218
143,8,0.64,1.45,0.045,2.6728190818122184,-0.0230890265132344,-0.0283262122572696
144,8,0.96,1.3,0.004,4.602412315063293,-0.1733338257569472,-0.0676576212780735
145,9,0.48,1.7,0.09,5.992076274396996,-0.1281470914717362,-0.1885459045529417
146,9,0.48,1.5,0.015,3.589229302379718,-0.1124782468728229,-0.1553046214641283
147,9,0.336,1.3,0.09,2.543806080054045,-0.0167685770822325,-0.0534713924441781
148,8,0.73,1.45,0.023,3.117325622308697,-0.0463998029930173,-0.0403568636110594
149,10,0.336,1.3,0.001,1.8625097381934248,-0.0943905923872549,-0.1003023242337923
150,9,0.58,1.68,0.023,5.537133071406153,-0.324114938334774,-0.2846302329573881
151,9,0.58,1.8,0.023,5.613726139567081,-0.3314363257442242,-0.2907239968864303
152,6,0.73,1.68,0.023,1.0363692883881974,-0.0010421846023212,-0.006648311445965
153,8,0.336,2.0,0.3,1.330110183004712,-0.0009905409585383,-0.0049580366626608
154,9,0.479,2.0,0.023,4.104021848964175,-0.119396527226979,-0.1681214640140286
155,8,0.336,1.68,0.09,0.7132769670366184,-0.0005208409800277,-0.0028420570207655
156,10,0.336,2.0,0.045,2.57087883426808,-0.0999615927755297,-0.1117425690117294
157,8,0.832,1.45,0.023,4.91247803196788,-0.1037795282474936,-0.0761582438924958
158,8,0.64,1.45,0.004,1.4183171543660855,-0.0184838112779631,-0.0155868648672098
159,7,0.58,1.3,0.023,0.6938282866515807,-9.787297721808656e-05,-0.0020071962768272
160,8,0.58,1.68,0.023,1.6744549239244126,-0.012759546447415,-0.0173367293091681
161,8,0.448,1.71,0.045,1.160681916537109,-0.0030101321846652,-0.007569104510201
162,10,0.336,2.0,0.023,2.2542035184735183,-0.0982387183122978,-0.1079656252733539
163,8,0.58,1.68,0.07,2.308131686075921,0.0221234766788496,0.0232156041611835
164,8,0.336,1.68,0.023,0.4762021953709774,-0.0006402606675628,-0.0019729859913173
165,8,0.96,1.68,0.004,5.955581370004161,-0.3063056691211475,-0.1634557463174819
166,10,0.336,1.3,0.004,1.9209625939408563,-0.0946442166342043,-0.1010115143803793
167,9,0.58,2.0,0.023,5.455367373042137,-0.34041326638713,-0.2990300213438677
168,8,0.96,2.0,0.004,1.289535867274454,-0.3748008924374418,-0.1690737825021435
169,8,0.48,1.45,0.023,0.9714943412430436,-0.0040911099125548,-0.0069542242103182
170,6,0.168,1.68,0.023,0.0274384360506597,5.97281512676878e-06,-3.0440875846992656e-05
171,10,0.336,1.66,0.001,1.926721184504,-0.0951478131578884,-0.1019624632726705
172,9,0.336,1.3,0.004,1.840474863426923,-0.0157611740754066,-0.0484750298434946
173,8,0.96,1.71,0.023,8.198246265029944,-0.350287005406764,-0.2097793698487754
174,8,0.73,2.0,0.023,3.03434010331483,-0.0721300619489976,-0.0730629544633081
175,10,0.64,1.3,0.023,8.060432615164414,-2.748540925787709,-0.2361221291128059
176,10,0.53,1.3,0.09,9.192423910743829,-0.5845435382347423,-0.3037518846289856
177,8,0.48,2.0,0.023,1.1344289181250855,-0.0047060228722657,-0.0098028902236086
178,8,0.96,1.3,0.045,9.093114777537863,-0.2448248415025097,-0.1486516492730851
179,10,0.53,2.0,0.09,11.094568060397664,-1.3071626235137672,-0.4649141134916528
180,8,0.832,1.3,0.023,4.29944252758615,-0.0895388264907618,-0.0576065618643213
181,8,0.336,1.66,0.002,0.4030099267363498,-0.0005601178118205,-0.001720580113913
182,10,0.43,2.0,0.09,6.430512783854391,-0.4099682540808969,-0.2630858193500557
183,9,0.83,1.9,0.08,22.24174400314832,-1.755333669393648,-0.9523763522914256
184,9,0.73,1.8,0.023,9.219270399700155,-1.2103548188464486,-0.5563569940973687
185,9,0.64,1.71,0.045,8.374906668669055,-0.5901235862351034,-0.4106114452226544
186,9,0.74,1.64,0.03,11.013758891505018,-1.3721996529725329,-0.6084427497423837
187,9,0.64,1.71,0.09,11.134196203156122,-0.6308859822039228,-0.4610765996383713
188,10,0.64,1.71,0.09,17.679226485338738,-2.4145187227073097,-0.6068178886044926
189,7,0.64,1.3,0.023,1.027853454457859,-0.0008074883491079,-0.0038548235677946
190,8,0.336,1.8,0.004,0.4130802149236184,-0.0004708591528508,-0.0017751472802588
191,7,0.48,2.0,0.023,0.7306930453628558,-0.0001027146560305,-0.0015782442440451
192,6,0.437,1.66,0.002,0.2717718952799701,8.943531262489983e-05,-0.0006950607974826
193,10,0.53,2.0,0.023,6.527638915692515,-1.1936234591986417,-0.3685597937663428
194,9,0.46,1.9,0.07,4.660307801687363,-0.0970927762727211,-0.1545588481456366
195,6,0.832,1.68,0.023,1.6728963529221137,-0.0023186270668221,-0.0131951889728513
196,8,0.64,2.0,0.004,2.0103702246981965,0.0017079588623443,-0.0211674247193895
197,9,0.336,2.0,0.023,1.964531104710016,-0.0161434872021583,-0.0496960245638222
198,8,0.64,1.68,0.023,2.264411990889185,-0.0240741443305317,-0.0286663785412768
199,9,0.56,1.92,0.086,7.883366126688206,-0.3032968572157865,-0.308653228180869
200,9,0.832,1.3,0.023,11.962073176651831,-2.173318236955123,-0.6182075344959195
201,7,0.73,2.0,0.023,1.8011421429123935,-0.005076057094151,-0.0205666869586548
202,9,0.62,1.82,0.045,7.791758741622681,-0.5035068937574736,-0.382137295510035
203,8,0.96,1.68,0.3,34.41572982416548,-0.7255672301380902,-0.6614281033711911
204,7,0.64,2.0,0.09,2.1670480841004816,-0.0010697012852048,-0.0095422859409986
205,6,0.336,1.66,0.002,0.1561989818237027,-3.96951040730815e-05,-0.0002617442199287
206,9,0.43,2.0,0.023,3.22965057662488,-0.0637389593667059,-0.1150621940284978
207,8,0.336,1.45,0.004,0.4012941763800696,-0.0007089743983721,-0.0017068488610559
208,9,0.53,1.8,0.023,4.784414906980752,-0.2024597152952131,-0.222778559184046
209,9,0.64,2.0,0.09,10.72627821378171,-0.6588139156277606,-0.4789794507430054
210,9,0.479,1.45,0.023,3.861650081879504,-0.11398686434361,-0.1587340968853304
211,8,0.96,1.3,0.023,6.662235956463408,-0.2061925304079578,-0.104665983837822
212,8,0.96,2.0,0.09,14.004365673165855,-0.5468045049595309,-0.3803596753858904
213,7,0.44,1.66,0.086,0.86094852151784,-0.0002358250231731,-0.0018927963365343
214,8,0.64,1.68,0.004,2.406015726784274,-0.0377576569056992,-0.0492698748317723
