,N,xm,nr,ni,p1,p2,p3
93,10,0.4,1.34,0.014,2.1320492370244954,-0.09561642876153814,-0.14020516645868908
94,9,0.7,1.61,0.02,8.297757752001743,-1.2060919731364361,-0.647776273180051
95,10,0.5,1.38,0.03,9.25780110525639,-0.5668876742602302,-0.25127862793757016
96,10,0.7,1.9,0.034,7.0822882538707415,-0.3181637767226535,-0.39729177276352706
97,10,0.7,1.3,0.089,2.6271691237108206,-0.060204223693314414,-0.08342583899515699
98,10,0.4,1.32,0.017,2.7101805388649156,-0.07939636272052611,-0.18538306254390843
99,10,0.7,1.72,0.024,9.583686443190727,-2.3003785357007733,-0.5450243326820455
100,10,0.4,1.95,0.087,2.875201888308601,-2.0880814034627955,-0.2704638266061502
101,9,0.7,1.73,0.02,1.5893565507150411,-0.0342898374801801,-0.0338324333480688
102,9,0.5,1.73,0.019,4.432779646283236,-0.24169519787516225,-0.1755416919090832
103,9,0.6,1.3,0.044,7.217072100058906,-0.5488691658299161,-0.3180855242989936
104,9,0.5,1.69,0.016,4.071063246370963,-0.13060869596462732,-0.1954318761743816
105,10,0.6,1.32,0.099,8.851818046058131,-0.10112904720755828,-0.2326465915049026
106,10,0.7,2.03,0.039,9.89590682426948,-0.44808846607862785,-0.4311563021879085
107,10,0.7,1.44,0.038,10.023166194583862,-3.172662139981416,-0.5523736304850692
108,10,0.6,1.54,0.09,10.227284014412334,-2.7272993864091424,-0.566885666592313
109,10,0.6,1.31,0.027,5.525963458553365,-2.1786656323648077,-0.39248041910292225
110,9,0.7,1.68,0.022,5.766179366776549,-0.15051143854820065,-0.19222477531347776
111,10,0.6,1.33,0.02,4.806096776125047,-0.4620553737861451,-0.2910298002735885
112,10,0.6,1.37,0.094,9.36877413844075,-0.6059033547038424,-0.2269400995930378
113,10,0.6,1.3,0.095,7.050037319558895,-1.8344719346153198,-0.5167048228755152
114,9,0.6,1.3,0.048,8.297848960569429,-0.3291951865712017,-0.47898124637313794
115,9,0.6,1.85,0.05,15.035062735767266,-2.7800776748740605,-0.6289552281593704
116,10,0.6,1.33,0.091,7.4985662341485355,-0.023006799583855375,-0.11912084934742212
117,9,0.5,2.04,0.02,4.756732588518884,-0.2060356237621046,-0.1640174223456761
118,9,0.5,1.98,0.008,1.5499125527745876,-0.011530686379451004,-0.010970416196906497
119,10,0.4,1.31,0.021,5.357555309898498,-0.4217531843700073,-0.20684247343511586
120,10,0.7,1.36,0.024,1.7383374185963083,-0.0358990075570528,-0.23392657214268175
121,10,0.6,1.33,0.024,8.27876107199738,-2.6790756892154004,-0.3408474679461647
122,10,0.6,1.3,0.019,1.2202274135823687,-0.01838288023128449,-0.029438126155011568
123,10,0.7,1.33,0.021,1.4236846223543171,-1.5228324495458079,-0.4045714567087166
124,9,0.5,1.51,0.03,8.916740993208476,-0.5621871036412822,-0.24593491615076496
125,10,0.6,1.3,0.091,5.4055560914218255,-0.05290056065428704,-0.0646411072914289
126,10,0.4,1.35,0.091,10.023810987470263,-0.08432131311855012,-0.15128088660323818
127,10,0.4,1.3,0.014,1.919824991155512,-0.07771156126402934,-0.09198047155660281
128,10,0.7,1.45,0.089,10.876063274953864,-3.088146339172109,-0.6396141000401652
129,9,0.6,1.46,0.039,9.305838309223654,-1.9409106168168389,-0.39555598127618596
130,9,0.6,1.95,0.039,6.830988694153836,-2.03358074590247,-0.4660254479859547
131,9,0.6,1.74,0.033,4.747974949363557,-0.5197589614646654,-0.3433370817712664
132,10,0.6,1.3,0.1,10.661364332589478,-2.4648239160952228,-0.4468147459709152
133,10,0.7,1.38,0.035,3.1755150401588788,-0.08574586214363134,-0.12330333840345381
134,10,0.7,1.31,0.028,6.864815660837428,-1.9576211696846475,-0.46288421155744724
135,9,0.5,2.03,0.029,5.328398298324383,-0.03199763032972382,-0.24180861061103337
136,9,0.4,1.36,0.033,5.598031419175327,-0.026123483459054388,-0.1344145125704067
137,10,0.5,1.96,0.08,8.383568408608808,-1.173644271063261,-0.22450791004760517
138,10,0.6,1.35,0.018,7.520909709844192,-2.2015659182532663,-0.5266626172517201
139,9,0.7,1.7,0.031,8.801723207229358,-1.4928039160119648,-0.6283159983223525
140,10,0.7,1.34,0.018,2.817042914775605,-0.0745107317948959,-0.14202992182006174
141,9,0.5,1.96,0.08,2.073735522617293,-0.08610268383317479,-0.07927908909934943
142,10,0.7,1.68,0.028,17.60334768837589,-2.4546746708919764,-0.3942676527247092
143,10,0.5,2.03,0.027,7.610603935454705,-0.033046645641550194,-0.14635057511078056
144,10,0.6,1.42,0.03,5.436578665718154,-0.24091799759077853,-0.08163271301368683
145,10,0.6,1.3,0.026,8.292581204371608,-2.4633865088767615,-0.22280177533759238
146,10,0.6,1.3,0.032,3.815455853137864,-0.11236969668129784,-0.10350395389372358
147,9,0.6,1.47,0.086,8.832411998810953,-0.6664454558219455,-0.2247525343230432
148,9,0.6,1.68,0.054,7.593770543293996,-0.44966666468148486,-0.4190198432187976
149,10,0.7,1.96,0.036,9.897227232087193,-2.352723402458598,-0.5501971742214535
