parameter;Model;N;Xm;nr;ni;Value
frwd;tm;256;0.640;1.68;0.001;72.2519090909
frwd;tm;256;0.640;1.68;0.00438;72.365
frwd;tm;256;0.640;1.71;0.045;72.9293333333
frwd;tm;256;0.640;2.00;0.001;71.48975
frwd;tm;256;0.640;2.00;0.0438;71.4705263158
frwd;tm;256;0.96;1.30;0.006;142.2128
frwd;tm;256;0.96;1.30;0.0226;144.1624
frwd;tm;256;0.96;1.30;0.09;151.318
frwd;tm;256;0.96;1.30;0.3;167.7148
frwd;tm;256;0.96;1.71;0.045;146.2820833333333
frwd;tm;256;0.96;2.00;0.006;70.84365
frwd;tm;512;0.168;1.66;0.002;16.14484
frwd;tm;512;0.235;1.66;0.002;26.694
frwd;tm;512;0.32;1.71;0.045;43.4428
frwd;tm;512;0.437;1.66;0.002;71.2963333333
frwd;tm;512;0.448;1.71;0.045;74.84224
frwd;tm;512;0.504;1.66;0.002;89.8532916667
frwd;tm;512;0.73;1.71;0.002;156.23
frwd;tm;512;0.336;1.30;0.001;46.90152
frwd;tm;512;0.336;1.30;0.0438;46.92948
frwd;tm;512;0.336;1.30;0.0226;47.08036
frwd;tm;512;0.336;1.30;0.09;47.625
frwd;tm;512;0.336;1.66;0.002;46.66356
frwd;tm;512;0.336;1.68;0.001;46.5598
frwd;tm;512;0.336;1.68;0.00438;46.8259583333
frwd;tm;512;0.336;2.00;0.0226;46.5322
frwd;tm;512;0.336;2.00;0.09;46.98248
frwd;tm;512;0.640;1.30;0.0226;135.59
frwd;tm;512;0.640;1.30;0.045;136.9928
frwd;tm;512;0.640;1.30;0.09;139.684
frwd;tm;512;0.640;1.71;0.0226;135.56
frwd;tm;512;0.640;1.71;0.09;138.7328
frwd;tm;512;0.640;1.71;0.045;136.0004
frwd;tm;512;0.640;2.00;0.0226;133.07142857142858
frwd;tm;512;0.640;2.00;0.045;134.9555
frwd;tm;512;0.640;2.00;0.09;138.0042105263
maxpol;par;1024;0.168;1.66;0.00200;0.9930328483
maxpol;par;1024;0.235;1.66;0.00200;0.985213153
maxpol;par;1024;0.320;1.71;0.04500;0.9664327261
maxpol;par;1024;0.336;1.30;0.00100;0.9930097609
maxpol;par;1024;0.336;1.30;0.00220;0.9930137504
maxpol;par;1024;0.336;1.30;0.00438;0.9930212338
maxpol;par;1024;0.336;1.30;0.02260;0.9930487828
maxpol;par;1024;0.336;1.30;0.09000;0.9926456244
maxpol;par;1024;0.336;1.66;0.00100;0.9666208936
maxpol;par;1024;0.336;1.66;0.00200;0.9666357546
maxpol;par;1024;0.336;1.66;0.00220;0.9666387135
maxpol;par;1024;0.336;1.66;0.00438;0.966670915
maxpol;par;1024;0.336;1.68;0.00100;0.9647757427
maxpol;par;1024;0.336;1.68;0.00438;0.9648272269
maxpol;par;1024;0.336;1.71;0.02260;0.9622740403
maxpol;par;1024;0.336;1.71;0.04500;0.9625126446
maxpol;par;1024;0.336;1.71;0.09000;0.9627197131
maxpol;par;1024;0.336;2.00;0.00100;0.9331901285
maxpol;par;1024;0.336;2.00;0.00220;0.9332185425
maxpol;par;1024;0.336;2.00;0.00438;0.9332699682
